"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"42589419","源昌機械工程有限公司","雲林縣西螺鎮新興路211號1樓","0","1040813","雲林縣西螺鎮漢光里新興路２１１號１樓","433900,340099,292999,433212","02-AUG-20","","","","",""
"42589749","小鎮資產管理有限公司","彰化縣鹿港鎮永安里鹿東路64巷26號1樓","0","1040814","彰化縣鹿港鎮永安里鹿東路６４巷２６號１樓","434015,434011,434013,740100","02-AUG-20","","","","","2019-11-22"
"42589810","今圓土木工程有限公司","彰化縣竹塘鄉竹塘村中興街150號","0","1040814","彰化縣竹塘鄉竹塘村０１５鄰中興街１５０號","410099,434015,434012,434013","02-AUG-20","","","","",""
"42590041","優能富創股份有限公司","彰化縣鹿港鎮東石里25鄰興業路8號","50000000","1040817","彰化縣鹿港鎮東石里０２５鄰興業路８號","303099,465311,484311,","02-AUG-20","","","","",""
"42590339","三維科技股份有限公司","南投縣南投市永豐里工業北路31號","5000000","1040817","南投縣南投市永豐里工業北路３１號","254999,251299,,","02-AUG-20","","","","",""
"42590507","霖源塑膠有限公司","苗栗縣竹南鎮崎頂里11鄰清天泉8-2號","null","1040818","苗栗縣竹南鎮崎頂里０１１鄰清天泉８─２號","220911,220999,,","02-AUG-20","","","","",""
"42590529","聖鼎工業有限公司","彰化縣和美鎮嘉犁里彰和路2段769巷22號","null","1040818","彰化縣和美鎮嘉犁里彰和路二段７６９巷２２號","254999,313200,303099,312200","02-AUG-20","","","","",""
"42590605","高竹裝潢有限公司","苗栗縣苑裡鎮水坡里4鄰水坡36-1號","0","1040818","苗栗縣苑裡鎮水坡里４鄰水坡３６─１號","434011,434015,740100,431099","02-AUG-20","","","","",""
"42590719","昶茂科技工業有限公司","彰化縣永靖鄉永北村水尾路117號","null","1040818","彰化縣永靖鄉永北村水尾路１１７號","249999,,,","02-AUG-20","","","","",""
"42590730","芝蘭蔘技股份有限公司","南投縣草屯鎮新庄里芬草路二段726號","150000","1040818","南投縣草屯鎮新庄里芬草路二段７２６號","092099,472999,,","02-AUG-20","","","","",""
