"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"70767857","中冠資訊股份有限公司","高雄市前鎮區成功二路88號19樓","414706200","0890327","高雄市前鎮區忠純里成功二路８８號１９樓","620199,620212,620211,","02-AUG-20","","","","ZO,中冠資訊,中冠,INFOCHAMP,EZO,INF CHAMP,INFO CHAMP,I-SEAS,","2019-11-22"
"70770430","台灣青啤股份有限公司","高雄市苓雅區中正二路175號32樓之2、3","152000000","0890424","高雄市苓雅區尚義里中正二路１７５號３２樓之２、３","454611,454700,091900,454999","02-AUG-20","","","","超爽龍珠泉啤酒,龍,南方啤酒節,夠,現撈,龍泉金鑽,台灣青啤,TAIWAN LONG CHUAN BEER,TAIWAN LONG CHUAN BEER BREWED BY TAIWAN TSING BEER CO LTD LEMON,金鑽,台灣龍泉,台灣龍泉啤酒水果吧百香果,台青,台灣龍泉真水,台灣海龍,W,維士比蜂蜜啤酒,台灣龍泉啤酒,LONG CHUAN,金百年,台灣龍泉啤酒水果吧檸檬,青啤燒,龍泉純生,TAIWAN LONGCHUAN,愛果泡泡,台灣龍泉啤酒水果吧水蜜桃,BEER PLUS WHISKY,龍泉,龍泉三太子台灣龍泉啤酒,WHISBIH HONEY BEER BREWED BY TAIWAN TSING BEER CO LTD,BREWED BY TAIWAN TSING BEER CO., LTD. TAIWAN LONG CHUAN BEER PASSION FRUIT,維士比啤酒,TAIWAN LONG CHUAN,南方啤酒文化節,龍珠泉,GO,BEER FESTIVAL,LONG JUI CHUAN BEER,BREWED BY TAIWAN TSING BEER CO., LTD. TAIWAN LONG CHUAN BEER PEACH,飲落去更熱情,LONG JUI CHUAN,青啤,","2019-11-22"
"70844616","水靈科技股份有限公司","高雄市苓雅區四維四路10號5樓之1","134978020","0890914","高雄市苓雅區人和里四維四路１０號５樓之１","464111,272914,464211,620199","02-AUG-20","","","","",""
"70849078","鼎晨科技股份有限公司","高雄市前鎮區新衙路286之4號4樓之2","10000000","0940929","高雄市前鎮區信義里新衙路２８６之４號４樓之２","269999,251299,,","02-AUG-20","","","","",""
"72088308","力漢企業股份有限公司","高雄市路竹區竹園里環球路15號","180000000","0641107","高雄市路竹區竹園里環球路１５號","087000,454921,183099,012999","02-AUG-20","","","","春霧,青春,巴蘭,力漢,","2019-11-22"
"73227406","振農水泥製品股份有限公司","高雄市新興區中東街258號1樓","415880000","0551224","高雄市新興區興昌里中東街２５８號１樓","233200,233100,439099,422015","02-AUG-20","","","","",""
"73717852","久盛瀝青工業股份有限公司","高雄市三民區力行里力行路140號1樓","9120000","0730608","高雄市三民區力行路１４０號１樓","461913,461999,,","02-AUG-20","","","","",""
"75010254","大信強化塑膠股份有限公司","高雄市仁武區仁武里工業二路4號","28378000","0591109","高雄市仁武區仁武里工業二路４號","220999,410013,185011,220111","02-AUG-20","","","","大信,","2019-11-22"
"75011681","力泉實業有限公司","高雄市前鎮區二聖二路71號","0","0610323","高雄市前鎮區興東里二聖二路７１號","293999,,,","02-AUG-20","","","","",""
"75020204","大地機械股份有限公司","高雄市三民區昌裕街210號","12000000","0521029","高雄市三民區昌裕街２１０號","464317,452000,,","02-AUG-20","","","","",""
"75043804","大順股份有限公司","高雄市三民區中華二路157巷60號","160000000","0441220","高雄市三民區德西里中華二路１５７巷６０號","581311,383012,681112,","02-AUG-20","","","","",""
"75059896","長輝玻璃股份有限公司","高雄市鳳山區輜汽北一路22號","8000000","0580429","高雄市鳳山區武慶里輜汽北一路２２號","461913,,,","02-AUG-20","","","","",""
"75060556","元洪金標準實業股份有限公司","高雄市小港區台糖路5號","8000000","0580721","高雄市小港區小港里台糖路５號","464913,464299,464999,464320","02-AUG-20","","","","",""
"75060824","日昇橡膠廠股份有限公司","高雄市大寮區大發工業區興業路35號","20000000","0551003","高雄市大寮區大寮里大發工業區興業路３５號","220300,210200,184200,","02-AUG-20","","","","日昇,J.S,","2019-11-22"
"75061366","總瀛企業股份有限公司","高雄市三民區天津街42號1樓","10000000","0581015","高雄市三民區精華里天津街４２號１樓","456611,456111,,","02-AUG-20","","","","金睛超人,","2019-11-22"
