"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"22939986","創宇科技工業股份有限公司","桃園市平鎮區湧光里工業九路7之1號","160000000","0770607","桃園市平鎮區湧光里工業九路７－１號","269999,,,","02-AUG-20","","","","GALAXY,ALAXY,","2019-11-22"
"22942321","新韋譽實業有限公司","桃園市觀音區廣福里福建路一段490號1樓","0","0770610","桃園市觀音區廣福里福建路１段４９０號１樓","454911,089311,472912,","02-AUG-20","","","","",""
"22944144","正力機械工業有限公司","桃園市龜山區大湖里文化三路97號2樓之1","0","0770614","桃園市龜山區大湖里文化三路９７號２樓之１","481013,,,","02-AUG-20","","","","",""
"22948710","台煒有限公司","桃園市八德區廣興里廣福路451巷5弄1-7號","0","0770621","桃園市八德區廣興里廣福路４５１巷５弄１－７號","220112,220999,461915,","02-AUG-20","","","","LAMINTON SECURITY PRODUCTS,雷明盾,LAMINTON INNOVATIVE GLASS,雷明盾安全防護科技,","2019-11-22"
"22949041","永源化工原料股份有限公司","桃園市大園區中山北路280巷15號","300000000","0770621","桃園市大園區內海里中山北路２８０巷１５號","243100,254411,382111,381114","02-AUG-20","","","","",""
"22950412","環辰實業股份有限公司","桃園市八德區大湳里和平路411巷296號","5000000","0770622","桃園市八德區大湳里和平路４１１巷２９６號","292999,220999,,","02-AUG-20","","","","",""
"22952538","大亞鋼鐵工業股份有限公司","桃園市大園區五權里13鄰五青路70巷9號","20000000","0770624","桃園市大園區五權里１３鄰五青路７０巷９號","242111,,,","02-AUG-20","","","","",""
"22955681","富登股份有限公司","桃園市楊梅區瑞原里民富路一段796巷25號","100000000","0770616","桃園市楊梅區瑞原里民富路１段７９６巷２５號","159999,454999,,","02-AUG-20","","","","ICE GENIE,風織,","2019-11-22"
"22962395","三笠鋼鐵企業股份有限公司","桃園市龍潭區上華里大順路551號","26000000","0770630","桃園市龍潭區上華里大順路５５１號","461516,249999,303099,241311","02-AUG-20","","","","CAR. DA. FU,卡達富,CADRIFUL,","2019-11-22"
"22963438","駿鑫紡織有限公司","桃園市桃園區有恆街135號二樓","0","0770701","桃園市桃園區汴洲里有恆街１３５號２樓","112114,455113,681112,","02-AUG-20","","","","",""
"22968026","高駿金屬股份有限公司","桃園市龜山區茶專一街60巷19弄17號","30000000","0770711","桃園市龜山區兔坑里茶專一街６０巷１９弄１７號","259999,254399,254411,269999","02-AUG-20","","","","",""
"22969051","弘琦貿易有限公司","桃園市桃園區經國路857號8樓之1","0","0770712","桃園市桃園區汴洲里經國路８５７號８樓之１","293999,464999,,","02-AUG-20","","","","普加利,潤霸,LUBE-UP,易力潤,EASYLUBE,PROCARE,SKYMONITOR,","2019-11-22"
"22970070","建名精密企業股份有限公司","桃園市龜山區樂善里文明三街1號一樓","90000000","0770713","桃園市龜山區樂善里文明三街１號１樓","251299,,,","02-AUG-20","","","","JANMAN,JMLED,","2019-11-22"
"22971113","永金資訊工業股份有限公司","桃園市八德區忠勇街281之2號3樓","6000000","0770715","桃園市八德區大義里０２３鄰忠勇街２８１─２號３樓","582099,639099,,","02-AUG-20","","","","",""
"22976790","鎰昌家具股份有限公司","桃園市龍潭區九龍里中興路九龍段66-1號","10000000","0770725","桃園市龍潭區武漢里３２鄰中興路九龍段６６─１號","321100,456211,456213,","02-AUG-20","","","","",""
