"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"24410855","佳宏生物科技有限公司","臺東縣臺東市豐田里中興路四段133巷9弄103號","0","0980522","臺東縣臺東市豐田里中興路四段１３３巷９弄１０３號","452000,,,","02-AUG-20","","","","","2019-11-22"
"24416909","日誠石業有限公司","花蓮縣吉安鄉光華村3鄰華南二路5號","0","0980604","花蓮縣吉安鄉光華村３鄰華南二路５號","234011,461999,481014,","02-AUG-20","","","","",""
"24428320","章群企業有限公司","花蓮縣新城鄉北埔村5鄰中興路85號1樓","null","0980622","花蓮縣新城鄉北埔村５鄰中興路８５號１樓","432000,434011,782000,","02-AUG-20","","","","",""
"24429046","劍龍企業有限公司","臺東縣臺東市新園里中興路六段667-1號","0","0980623","臺東縣臺東市新園里中興路６段６７７─１號","383012,461213,469199,469921","02-AUG-20","","","","",""
"24429329","陽宸企業有限公司","臺東縣臺東市豐田里中興路4段2巷165號","0","0980623","臺東縣臺東市豐田里中興路４段２巷１６５號","170099,233200,233300,","02-AUG-20","","","","",""
"24441506","精鵠股份有限公司","花蓮縣玉里鎮中城里忠孝路27號1樓","25000000","0980713","花蓮縣玉里鎮中城里忠孝路２７號１樓","453111,454212,454921,454112","02-AUG-20","","","","",""
"24550692","小智星學堂文化事業有限公司","花蓮縣吉安鄉太昌村太昌路342號","0","1030522","花蓮縣吉安鄉太昌村００４鄰太昌路３４２號１樓","476111,476399,858099,859999","02-AUG-20","","","","",""
"24606921","瀚明企業股份有限公司","臺東縣臺東市民生里杭州街185號1樓","12000000","1031027","臺東縣臺東市民生里杭州街１８５號１樓","523200,522000,340012,525999","02-AUG-20","","","","",""
"24611760","今友工程有限公司","臺東縣鹿野鄉瑞豐村7鄰中山路160號","null","1030617","臺東縣鹿野鄉瑞豐村００７鄰中山路１６０號","439099,251299,464211,771999","02-AUG-20","","","","",""
"24611895","多摩川文化事業有限公司","花蓮縣吉安鄉吉昌一街175號","0","1030617","花蓮縣吉安鄉吉安村０２３鄰吉昌一街１７５號","932999,471999,472914,903015","02-AUG-20","","","","",""
"24613795","太魯閣客運股份有限公司","花蓮縣花蓮市中美路148號5樓之2","50000000","1030624","花蓮縣花蓮市民立里００１鄰中美路１４８號５樓之２","493112,731099,951199,","02-AUG-20","","","","",""
"24623885","源瑞實業有限公司","花蓮縣花蓮市國聯里國興一街89號1樓","0","1030730","花蓮縣花蓮市國聯里０３４鄰國興一街８９號１樓","429099,524100,,","02-AUG-20","","","","",""
"24627046","木樂館文創企業有限公司","花蓮縣吉安鄉勝安村慈惠二街117-1號","null","1030811","花蓮縣吉安鄉勝安村慈惠二街１１７─１號","140912,474316,561115,740999","02-AUG-20","","","","",""
"24636946","海鈺石材有限公司","花蓮縣花蓮市民孝里東興三街22號一樓","0","1030917","花蓮縣花蓮市民孝里東興三街２２號１樓","461311,234012,,","02-AUG-20","","","","",""
"24648014","鴻貿重機械有限公司","花蓮縣吉安鄉仁安村南海六街21號1樓","0","1031024","花蓮縣吉安鄉仁安村０１８鄰南海六街２１號１樓","464999,461516,464317,340099","02-AUG-20","","","","",""
"24651050","博德實業有限公司","花蓮縣花蓮市民心里美工路27號1樓","null","1031104","花蓮縣花蓮市民心里００３鄰美工路２７號１樓","461311,,,","02-AUG-20","","","","",""
"24651951","花東畜牧開發有限公司","臺東縣關山鎮月眉里加和30號2樓","0","1031107","臺東縣關山鎮月眉里加和３０號２樓","012300,183099,472916,454511","02-AUG-20","","","","",""
"24652945","九國生物科技有限公司","花蓮縣壽豐鄉豐裡村9鄰中山路2號1樓","0","1031112","花蓮縣壽豐鄉豐裡村００９鄰中山路２號１樓","472313,474999,469999,454999","02-AUG-20","","","","",""
"24654036","誠家建設有限公司","臺東縣臺東市自強里武昌街56號1樓","0","1031117","臺東縣臺東市自強里武昌街５６號１樓","670012,,,","02-AUG-20","","","","",""
"24654161","鉑特索鋸股份有限公司","花蓮縣花蓮市美工路7號","12662000","1031117","花蓮縣花蓮市民心里００３鄰美工路７號","464999,340017,291900,","02-AUG-20","","","","",""
"24655513","宏興石業有限公司","花蓮縣花蓮市主農里福建街26巷34號1樓","null","1031121","花蓮縣花蓮市主農里福建街２６巷３４號１樓","234099,461311,060011,","02-AUG-20","","","","",""
"24656040","樺冠冷凍食品有限公司","花蓮縣花蓮市民心里美工路56號","0","1031124","花蓮縣花蓮市民心里美工路５６號","081216,454400,,","02-AUG-20","","","","",""
"24676714","興東文有限公司","臺東縣臺東市衡陽路35巷13號1樓","0","1040113","臺東縣臺東市豐谷里衡陽路３５巷１３號","433212,,,","02-AUG-20","","","","",""
"24779991","立富石材有限公司","花蓮縣吉安鄉光華村華工六路92巷98號1樓","0","1031219","花蓮縣吉安鄉光華村００３鄰華工六路９２巷９８號１樓","461311,234012,234099,429099","02-AUG-20","","","","",""
