"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"42945233","三永科藝有限公司","新竹市東區光明里大學路50號13樓之3","0","1070312","新竹市東　區光明里大學路５０號十三樓之３","483299,,,","02-AUG-20","","","","",""
"42945557","元大力機械工業有限公司","苗栗縣銅鑼鄉中平村中平20-2號","0","1070313","苗栗縣銅鑼鄉中平村００２鄰中平２０─２號","254999,461516,464999,","02-AUG-20","","","","",""
"42945590","崧引資訊股份有限公司","基隆市仁愛區仁四路60號4樓","10100000","1070313","基隆市仁愛區博愛里仁四路６０號４樓","464111,271999,,","02-AUG-20","","","","",""
"42945711","台灣松澤防震設備股份有限公司","宜蘭縣宜蘭市新民里中山路三段中央商場53-6號1樓","10000000","1070314","宜蘭縣宜蘭市新民里０１４鄰中山路三段中央商場５３─６號","464999,340015,433115,451099","02-AUG-20","","","","",""
"42945732","戰神科技有限公司","新竹縣竹東鎮中興路4段372之2號","0","1070314","新竹縣竹東鎮頭重里中興路４段３７２之２號","464211,,,","02-AUG-20","","","","ARMOURY,WARRIOR,","2019-11-22"
"42945825","通勝科技有限公司","新竹縣竹北市隘口里2鄰六家五路二段286號5樓","0","1070314","新竹縣竹北市隘口里００２鄰六家五路二段２８６號５樓","199099,,,","02-AUG-20","","","","",""
"42945830","豪豐科技有限公司","苗栗縣頭份市上埔里4鄰中正一路139號9樓","0","1070314","苗栗縣頭份市上埔里４鄰中正一路１３９號９樓","281099,351000,433212,","02-AUG-20","","","","",""
"42945867","連恩微電子有限公司","新竹縣竹北市嘉豐11路1段100號10樓之8","0","1070314","新竹縣竹北市中興里嘉豐十一路一段１００號１０樓之８","269999,639099,,","02-AUG-20","","","","",""
"42945888","允利科技有限公司","苗栗縣頭份市田寮里蘆竹路327號","0","1070314","苗栗縣頭份市田寮里０２１鄰蘆竹路３２７號","292800,269999,,","02-AUG-20","","","","",""
"42946057","大謙文化事業有限公司","新竹市東區新莊里長春街59號1樓","0","1070314","新竹市東　區新莊里長春街５９號１樓","581311,581312,,","02-AUG-20","","","","",""
"42946269","旭宜精密電子材料有限公司","新竹市香山區埔前里牛埔南路171-3號","0","1070315","新竹市香山區埔前里牛埔南路１７１－３號","464211,,,","02-AUG-20","","","","",""
"42946459","台灣紅豆杉科技農業股份有限公司","新竹市北區金竹里8鄰武陵路269號3樓","6000000","1070316","新竹市北　區金竹里武陵路２６９號３樓","092016,,,","02-AUG-20","","","","",""
"42946541","家哲企業有限公司","苗栗縣竹南鎮崎頂里和誠街8號","0","1070316","苗栗縣竹南鎮崎頂里０１５鄰和誠街８號","462099,,,","02-AUG-20","","","","",""
"42946675","昱恩國際餐飲有限公司","基隆市中正區義一路2號8樓","0","1070316","基隆市中正區港通里義一路２號８樓","454700,,,","02-AUG-20","","","","",""
"42946824","弘霖精密科技有限公司","苗栗縣頭份市建國里5鄰中興路690號1樓","0","1070319","苗栗縣頭份市建國里００５鄰中興路６９０號１樓","259999,254200,,","02-AUG-20","","","","",""
