"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"70522039","矩鋒實業有限公司","嘉義市自由路506號15樓之2","0","0890602","嘉義市西　區保生里自由路５０６號１５樓之２","464320,,,","02-AUG-20","","","","",""
"70525850","慧豐營造有限公司","嘉義市東區中庄里忠孝路401巷8號1樓","0","0890608","嘉義市東　區中庄里忠孝路４０１巷８號１樓","410013,782000,461999,670012","02-AUG-20","","","","",""
"70529504","豪信預拌混凝土股份有限公司","澎湖縣馬公市陽明路45號","5000000","0890614","澎湖縣馬公市陽明里陽明路４５號","461211,461212,461213,461214","02-AUG-20","","","","",""
"70530312","凱斯達企業有限公司","嘉義縣大林鎮中坑里大埔美園區三路12號","0","0890614","嘉義縣大林鎮中坑里００１鄰大埔美園區三路１２號","464999,451099,293999,","02-AUG-20","","","","",""
"70532578","饌師傅食品股份有限公司","屏東縣九如鄉九明村九如路二段1巷25號","50000000","0890617","屏東縣九如鄉九明村１鄰九如路二段１巷２５號","089799,454400,,","02-AUG-20","","","","饌之味,饌ㄓㄨㄢ師傅,九饌,饌師傅,","2019-11-22"
"70533866","永富興科技股份有限公司","屏東縣屏東市前進里屏東加工出口區園西街18號","136000000","0890619","屏東縣屏東市前進里園西街１８號","461512,254911,,","02-AUG-20","","","","",""
"70549993","育航國際股份有限公司","屏東縣里港鄉過江村仁愛路33巷36號1樓","10000000","0890420","屏東縣里港鄉過江村仁愛路３３巷３６號１樓","455214,469918,123014,458299","02-AUG-20","","","","",""
"70585441","益驊有限公司","屏東縣東港鎮興農里中正路3段101號","null","0890621","屏東縣東港鎮興農里１鄰中正路３段１０１號","464211,254411,,","02-AUG-20","","","","",""
"70593337","鴻耀開發工業有限公司","嘉義縣溪口鄉妙崙村新興庄18號","null","0890701","嘉義縣溪口鄉妙崙村１鄰新興庄１８號","241400,242112,464918,","02-AUG-20","","","","",""
"70594053","豐惇瀝青有限公司","屏東縣枋山鄉楓港村舊庄路300號","null","0890703","屏東縣枋山鄉楓港村舊庄路３００號","170011,,,","02-AUG-20","","","","",""
"70594130","福佑食品有限公司","屏東縣屏東市清溪里建國路450巷20-1號","null","0890703","屏東縣屏東市前進里建國路４５０巷２０－１號","089799,454400,,","02-AUG-20","","","","",""
"70600055","冷研科技有限公司","嘉義縣水上鄉水上村嘉朴路45號","0","0890713","嘉義縣水上鄉水上村１４鄰嘉朴路４５號","462099,462099,464999,454999","02-AUG-20","","","","DIT,冷研,COO,","2019-11-22"
"70603601","七友科技股份有限公司","嘉義市西區湖內里健康五街28號","21000000","0890718","嘉義市西　區湖內里２２鄰健康五街２８號","464922,521000,464111,","02-AUG-20","","","","七友,WEBPASS,SEMAC,CSS,BIOSENSE,CYT,CSS CHIYU SMART SECURITY,CHIYU,NAWE,","2019-11-22"
"70605517","順右企業有限公司","屏東縣新園鄉內庄村興安路168號","null","0890724","屏東縣新園鄉內庄村興安路１６８號１樓","220111,461515,461516,464920","02-AUG-20","","","","",""
"70609859","皓仁預拌企業有限公司","澎湖縣馬公市東衛1-3號1樓","0","0890727","澎湖縣馬公市東衛里１─３號１樓","781099,461211,771100,461214","02-AUG-20","","","","",""
"70611314","毅興環保工程有限公司","嘉義縣東石鄉蔦松村湖底二一︱二號","null","0890729","嘉義縣東石鄉蔦松村湖底２１－２號","381112,210999,462012,381114","02-AUG-20","","","","",""
"70613636","台灣孟德爾生物科技股份有限公司","屏東縣九如鄉崁頂街1巷15之1號","20000000","0890802","屏東縣九如鄉九明村崁頂街１巷１５－１號","087000,457114,454921,","02-AUG-20","","","","樂多爾,KEFIRFEED,MENDELNO.,能淨,真鑽肽,LOTTO-R,TURE-FORMATION-S PROTEIN,樂多健,TAIWAN MENDEL,孟德爾八號,晶好肽,卡活爾,EXCELLENCE-S PROTEIN,E ECO CLEAN,","2019-11-22"
"70615120","鑫溶實業股份有限公司","嘉義縣民雄鄉北斗村中正路28號","60000000","0890804","嘉義縣民雄鄉北斗村２６鄰中正路２８號","454399,472311,082011,454112","02-AUG-20","","","","鑫鮮,COASTLINE,","2019-11-22"
"70615275","松鶴國際資產開發股份有限公司","澎湖縣馬公市東文澳179-78號","73000000","0890804","澎湖縣馬公市東文里東文澳１７９－７８號","669199,501011,772911,","02-AUG-20","","","","",""
"70616161","林利群貿易有限公司","嘉義市育英里永安街198號","null","0890805","嘉義市西　區育英里永安街１９８號１樓","469999,464311,,","02-AUG-20","","","","嗡嗡嗡,","2019-11-22"
"70618034","統津企業股份有限公司","屏東縣九如鄉洽興村昌榮路158-1號","26730000","0890809","屏東縣九如鄉洽興村昌榮路１５８─１號","081211,454400,,","02-AUG-20","","","","",""
"70619651","益錩精機有限公司","嘉義縣東石鄉三家村八四號　　","null","0890811","嘉義縣東石鄉三家村１０鄰８４號","291299,456213,,","02-AUG-20","","","","",""
"70620897","康柏國際有限公司","嘉義市西區保安里八德路326號11樓之1","null","0890814","嘉義市西　區保安里八德路３２６號１１樓之１","461313,252299,461511,","02-AUG-20","","","","台灣爵柏,GERBATH,","2019-11-22"
"70621299","宗翰食品有限公司","屏東縣東港鎮鎮海里鎮海路117巷18號","0","0890815","屏東縣東港鎮鎮海里０１５鄰鎮海路１１７巷１８號","562011,454913,454700,454611","02-AUG-20","","","","",""
"70626575","唯曾有限公司","嘉義縣新港鄉月潭村月眉潭230號之20附3","null","0880915","嘉義縣新港鄉月潭村月眉潭２３０號之２０附３","461915,,,","02-AUG-20","","","","",""
"70626766","長昇彩藝股份有限公司","嘉義市西區北湖里北社尾路258巷30弄3號1樓","36000000","0880915","嘉義市西　區北湖里北社尾路２５８巷３０弄３號１樓","220212,,,","02-AUG-20","","","","",""
"70626837","旗昌機械有限公司","嘉義縣水上鄉南和村南靖117-2號","null","0880915","嘉義縣水上鄉南和村南靖１１７─２號","292999,254411,461515,","02-AUG-20","","","","","2019-11-22"
"70629905","禾久代股份有限公司","嘉義市豐年里吳鳳南路66號","5000000","0880920","嘉義市東　區豐年里吳鳳南路６６號１樓","464311,,,","02-AUG-20","","","","",""
"70632789","台禽生物科技股份有限公司","屏東縣潮州鎮三共里朝昇路2號","50000000","0881001","屏東縣潮州鎮三共里朝昇路２號","454921,013014,191012,454211","02-AUG-20","","","","打狗雞,TAKAO,台禽,尚將,SHANG CHIANG,","2019-11-22"
"70633823","宏仁機械有限公司","嘉義縣中埔鄉和睦村中興東村22號","null","0881002","嘉義縣中埔鄉和睦村００９鄰中興東村２２號１樓","464999,293999,,","02-AUG-20","","","","",""
