,Count
"[217000000, 218000000)",0
"[218000000, 219000000)",0
"[219000000, 220000000)",2
"[220000000, 221000000)",4
"[221000000, 222000000)",1
"[222000000, 223000000)",0
"[223000000, 224000000)",1
"[224000000, 225000000)",0
"[225000000, 226000000)",1
"[226000000, 227000000)",0
"[227000000, 228000000)",0
"[228000000, 229000000)",1
"[229000000, 230000000)",0
"[230000000, 231000000)",4
"[231000000, 232000000)",0
"[232000000, 233000000)",0
"[233000000, 234000000)",1
"[234000000, 235000000)",1
"[235000000, 236000000)",1
"[236000000, 237000000)",0
"[237000000, 238000000)",0
"[238000000, 239000000)",0
"[239000000, 240000000)",0
"[240000000, 241000000)",3
"[241000000, 242000000)",1
"[242000000, 243000000)",1
"[243000000, 244000000)",0
"[244000000, 245000000)",0
"[245000000, 246000000)",0
"[246000000, 247000000)",0
"[247000000, 248000000)",0
"[248000000, 249000000)",1
"[249000000, 250000000)",0
"[250000000, 251000000)",10
"[251000000, 252000000)",0
"[252000000, 253000000)",0
"[253000000, 254000000)",1
"[254000000, 255000000)",2
"[255000000, 256000000)",0
"[256000000, 257000000)",0
"[257000000, 258000000)",0
"[258000000, 259000000)",0
"[259000000, 260000000)",1
"[260000000, 261000000)",2
"[261000000, 262000000)",0
"[262000000, 263000000)",1
"[263000000, 264000000)",1
"[264000000, 265000000)",0
"[265000000, 266000000)",1
"[266000000, 267000000)",1
"[267000000, 268000000)",0
"[268000000, 269000000)",0
"[269000000, 270000000)",1
"[270000000, 271000000)",2
"[271000000, 272000000)",1
"[272000000, 273000000)",0
"[273000000, 274000000)",0
"[274000000, 275000000)",0
"[275000000, 276000000)",0
"[276000000, 277000000)",3
"[277000000, 278000000)",0
"[278000000, 279000000)",1
"[279000000, 280000000)",0
"[280000000, 281000000)",1
"[281000000, 282000000)",2
"[282000000, 283000000)",0
"[283000000, 284000000)",0
"[284000000, 285000000)",0
"[285000000, 286000000)",1
"[286000000, 287000000)",2
"[287000000, 288000000)",1
"[288000000, 289000000)",0
"[289000000, 290000000)",1
"[290000000, 291000000)",1
"[291000000, 292000000)",1
"[292000000, 293000000)",1
"[293000000, 294000000)",0
"[294000000, 295000000)",0
"[295000000, 296000000)",1
"[296000000, 297000000)",0
"[297000000, 298000000)",0
"[298000000, 299000000)",2
"[299000000, 300000000)",0
"[300000000, 301000000)",10
"[301000000, 302000000)",0
"[302000000, 303000000)",2
"[303000000, 304000000)",0
"[304000000, 305000000)",1
"[305000000, 306000000)",5
"[306000000, 307000000)",0
"[307000000, 308000000)",0
"[308000000, 309000000)",1
"[309000000, 310000000)",0
"[310000000, 311000000)",2
"[311000000, 312000000)",0
"[312000000, 313000000)",0
"[313000000, 314000000)",1
"[314000000, 315000000)",0
"[315000000, 316000000)",0
"[316000000, 317000000)",0
"[317000000, 318000000)",1
"[318000000, 319000000)",1
"[319000000, 320000000)",1
"[320000000, 321000000)",4
"[321000000, 322000000)",1
"[322000000, 323000000)",0
"[323000000, 324000000)",0
"[324000000, 325000000)",1
"[325000000, 326000000)",0
"[326000000, 327000000)",2
"[327000000, 328000000)",0
"[328000000, 329000000)",0
"[329000000, 330000000)",0
"[330000000, 331000000)",1
"[331000000, 332000000)",2
"[332000000, 333000000)",0
"[333000000, 334000000)",1
"[334000000, 335000000)",0
"[335000000, 336000000)",1
"[336000000, 337000000)",0
"[337000000, 338000000)",0
"[338000000, 339000000)",0
"[339000000, 340000000)",0
"[340000000, 341000000)",0
"[341000000, 342000000)",1
"[342000000, 343000000)",0
"[343000000, 344000000)",2
"[344000000, 345000000)",1
"[345000000, 346000000)",2
"[346000000, 347000000)",0
"[347000000, 348000000)",0
"[348000000, 349000000)",1
"[349000000, 350000000)",0
"[350000000, 351000000)",3
"[351000000, 352000000)",1
"[352000000, 353000000)",0
"[353000000, 354000000)",0
"[354000000, 355000000)",1
"[355000000, 356000000)",0
"[356000000, 357000000)",1
"[357000000, 358000000)",1
"[358000000, 359000000)",0
"[359000000, 360000000)",1
"[360000000, 361000000)",2
"[361000000, 362000000)",1
"[362000000, 363000000)",0
"[363000000, 364000000)",0
"[364000000, 365000000)",0
"[365000000, 366000000)",0
"[366000000, 367000000)",1
"[367000000, 368000000)",0
"[368000000, 369000000)",1
"[369000000, 370000000)",0
"[370000000, 371000000)",0
"[371000000, 372000000)",0
"[372000000, 373000000)",0
"[373000000, 374000000)",0
"[374000000, 375000000)",0
"[375000000, 376000000)",0
"[376000000, 377000000)",1
"[377000000, 378000000)",1
"[378000000, 379000000)",0
"[379000000, 380000000)",0
"[380000000, 381000000)",3
"[381000000, 382000000)",0
"[382000000, 383000000)",1
"[383000000, 384000000)",1
"[384000000, 385000000)",0
"[385000000, 386000000)",2
"[386000000, 387000000)",0
"[387000000, 388000000)",0
"[388000000, 389000000)",0
"[389000000, 390000000)",0
"[390000000, 391000000)",0
"[391000000, 392000000)",0
"[392000000, 393000000)",0
"[393000000, 394000000)",0
"[394000000, 395000000)",0
"[395000000, 396000000)",1
"[396000000, 397000000)",0
"[397000000, 398000000)",0
"[398000000, 399000000)",2
"[399000000, 400000000)",1
"[400000000, 401000000)",5
"[401000000, 402000000)",0
"[402000000, 403000000)",0
"[403000000, 404000000)",1
"[404000000, 405000000)",0
"[405000000, 406000000)",1
"[406000000, 407000000)",0
"[407000000, 408000000)",0
"[408000000, 409000000)",0
"[409000000, 410000000)",0
"[410000000, 411000000)",0
"[411000000, 412000000)",0
"[412000000, 413000000)",0
"[413000000, 414000000)",2
"[414000000, 415000000)",0
"[415000000, 416000000)",0
"[416000000, 417000000)",1
"[417000000, 418000000)",0
"[418000000, 419000000)",1
"[419000000, 420000000)",0
"[420000000, 421000000)",0
"[421000000, 422000000)",0
"[422000000, 423000000)",0
"[423000000, 424000000)",1
"[424000000, 425000000)",0
"[425000000, 426000000)",0
"[426000000, 427000000)",0
"[427000000, 428000000)",0
"[428000000, 429000000)",0
"[429000000, 430000000)",0
"[430000000, 431000000)",1
"[431000000, 432000000)",1
"[432000000, 433000000)",0
"[433000000, 434000000)",1
"[434000000, 435000000)",0
"[435000000, 436000000)",0
"[436000000, 437000000)",1
"[437000000, 438000000)",0
"[438000000, 439000000)",1
"[439000000, 440000000)",0
"[440000000, 441000000)",0
"[441000000, 442000000)",1
"[442000000, 443000000)",0
"[443000000, 444000000)",0
"[444000000, 445000000)",0
"[445000000, 446000000)",0
"[446000000, 447000000)",1
"[447000000, 448000000)",0
"[448000000, 449000000)",0
"[449000000, 450000000)",0
"[450000000, 451000000)",1
"[451000000, 452000000)",0
"[452000000, 453000000)",1
"[453000000, 454000000)",0
"[454000000, 455000000)",1
"[455000000, 456000000)",0
"[456000000, 457000000)",1
"[457000000, 458000000)",0
"[458000000, 459000000)",0
"[459000000, 460000000)",0
"[460000000, 461000000)",2
"[461000000, 462000000)",1
"[462000000, 463000000)",1
"[463000000, 464000000)",0
"[464000000, 465000000)",0
"[465000000, 466000000)",1
"[466000000, 467000000)",0
"[467000000, 468000000)",0
"[468000000, 469000000)",0
"[469000000, 470000000)",0
"[470000000, 471000000)",0
"[471000000, 472000000)",1
"[472000000, 473000000)",0
"[473000000, 474000000)",0
"[474000000, 475000000)",0
"[475000000, 476000000)",0
"[476000000, 477000000)",0
"[477000000, 478000000)",0
"[478000000, 479000000)",0
"[479000000, 480000000)",0
"[480000000, 481000000)",0
"[481000000, 482000000)",0
"[482000000, 483000000)",0
"[483000000, 484000000)",1
"[484000000, 485000000)",0
"[485000000, 486000000)",0
"[486000000, 487000000)",0
"[487000000, 488000000)",1
"[488000000, 489000000)",0
"[489000000, 490000000)",1
"[490000000, 491000000)",0
"[491000000, 492000000)",0
"[492000000, 493000000)",0
"[493000000, 494000000)",0
"[494000000, 495000000)",0
"[495000000, 496000000)",0
"[496000000, 497000000)",0
"[497000000, 498000000)",2
"[498000000, 499000000)",1
"[499000000, 500000000)",0
"[500000000, 501000000)",1
"[501000000, 502000000)",0
"[502000000, 503000000)",0
"[503000000, 504000000)",0
"[504000000, 505000000)",2
"[505000000, 506000000)",0
"[506000000, 507000000)",0
"[507000000, 508000000)",0
"[508000000, 509000000)",0
"[509000000, 510000000)",0
"[510000000, 511000000)",0
"[511000000, 512000000)",0
"[512000000, 513000000)",0
"[513000000, 514000000)",0
"[514000000, 515000000)",0
"[515000000, 516000000)",0
"[516000000, 517000000)",0
"[517000000, 518000000)",0
"[518000000, 519000000)",0
"[519000000, 520000000)",0
"[520000000, 521000000)",0
"[521000000, 522000000)",0
"[522000000, 523000000)",0
"[523000000, 524000000)",0
"[524000000, 525000000)",0
"[525000000, 526000000)",0
"[526000000, 527000000)",0
"[527000000, 528000000)",0
"[528000000, 529000000)",0
"[529000000, 530000000)",0
"[530000000, 531000000)",0
"[531000000, 532000000)",0
"[532000000, 533000000)",0
"[533000000, 534000000)",0
"[534000000, 535000000)",1
"[535000000, 536000000)",0
"[536000000, 537000000)",0
"[537000000, 538000000)",0
"[538000000, 539000000)",0
"[539000000, 540000000)",0
"[540000000, 541000000)",1
"[541000000, 542000000)",0
"[542000000, 543000000)",0
"[543000000, 544000000)",0
"[544000000, 545000000)",0
"[545000000, 546000000)",0
"[546000000, 547000000)",1
"[547000000, 548000000)",0
"[548000000, 549000000)",0
"[549000000, 550000000)",0
"[550000000, 551000000)",0
"[551000000, 552000000)",0
"[552000000, 553000000)",0
"[553000000, 554000000)",0
"[554000000, 555000000)",0
"[555000000, 556000000)",0
"[556000000, 557000000)",0
"[557000000, 558000000)",1
"[558000000, 559000000)",0
"[559000000, 560000000)",0
"[560000000, 561000000)",0
"[561000000, 562000000)",0
"[562000000, 563000000)",0
"[563000000, 564000000)",0
"[564000000, 565000000)",0
"[565000000, 566000000)",0
"[566000000, 567000000)",0
"[567000000, 568000000)",0
"[568000000, 569000000)",0
"[569000000, 570000000)",1
"[570000000, 571000000)",0
"[571000000, 572000000)",0
"[572000000, 573000000)",0
"[573000000, 574000000)",0
"[574000000, 575000000)",0
"[575000000, 576000000)",0
"[576000000, 577000000)",0
"[577000000, 578000000)",0
"[578000000, 579000000)",0
"[579000000, 580000000)",0
"[580000000, 581000000)",0
"[581000000, 582000000)",0
"[582000000, 583000000)",0
"[583000000, 584000000)",0
"[584000000, 585000000)",0
"[585000000, 586000000)",0
"[586000000, 587000000)",0
"[587000000, 588000000)",0
"[588000000, 589000000)",0
"[589000000, 590000000)",0
"[590000000, 591000000)",0
"[591000000, 592000000)",0
"[592000000, 593000000)",0
"[593000000, 594000000)",0
"[594000000, 595000000)",0
"[595000000, 596000000)",0
"[596000000, 597000000)",0
"[597000000, 598000000)",1
"[598000000, 599000000)",0
"[599000000, 600000000)",0
"[600000000, 601000000)",1
"[601000000, 602000000)",0
"[602000000, 603000000)",0
"[603000000, 604000000)",0
"[604000000, 605000000)",0
"[605000000, 606000000)",0
"[606000000, 607000000)",0
"[607000000, 608000000)",0
"[608000000, 609000000)",0
"[609000000, 610000000)",0
"[610000000, 611000000)",0
"[611000000, 612000000)",0
"[612000000, 613000000)",0
"[613000000, 614000000)",0
"[614000000, 615000000)",0
"[615000000, 616000000)",0
"[616000000, 617000000)",1
"[617000000, 618000000)",0
"[618000000, 619000000)",0
"[619000000, 620000000)",1
